Authorization Status,Country of FD Name,Item Category,Quantity,Item Net Weight,Item Grams,Rate,Invoice Date Only,Invoice Quantity,Invoice Status,Extra Fields Final Destination,Sourcing Type,Order Status,Minimum Order Value,Load Deviation,Transaction_Value
Unknown,Australia,Generic,10,2,200,9.22,,129,No Invoice,Australia,Indian Export,Order Pending,20,-10,92.2
Pending,China,Generic,210,15.4,250,8.17,,129,Invoice Pending,China,Local/Regional Sourcing,Order Pending,80,130,1715.7
Unknown,China,Brand Chips,27,3.8,200,5.95,01-06-2024,20,Invoice Generated,China,Local/Regional Sourcing,Order Released,40,-13,160.65
Pending,Australia,Generic,48,15.4,75,7.32,05-06-2024,39,Invoice Generated,Australia,Indian Export,Order Released,40,8,351.36
Under Review,UK,Regular Chips,98,9.8,100,2.66,,129,Invoice Pending,UK,Local/Regional Sourcing,Order Pending,40,58,260.68
Pending,Mexico,Generic,18,0.9,50,4.19,,129,Unknown,Mexico,Indian Export,Order Released,20,-2,75.42
Unknown,Japan,Generic,108,5.4,50,6.62,11-06-2024,111,Invoice Generated,Japan,Indian Export,Order Pending,20,88,714.96
Unknown,Italy,Premium Chips,190,14.25,75,6.22,,129,No Invoice,Italy,Indian Export,Order Pending,40,150,1181.8
Pending,China,Regular Chips,248,37.2,150,6.25,12-06-2024,246,Invoice Generated,China,Local/Regional Sourcing,Order Released,40,208,1550
Pending,Singapore,Regular Chips,348,52.2,150,3.66,10-06-2024,348,Invoice Generated,Singapore,Indian Export,Order Released,80,268,1273.68
Pending,USA,Peanuts,69,1.73,25,7.95,,129,Invoice Pending,USA,Indian Export,Order Released,20,49,548.55
Unknown,Australia,Regular Chips,25,6.25,250,2.23,09-06-2024,15,Invoice Generated,Australia,Indian Export,Order Released,40,-15,55.75
Pending,UK,Generic,225,45,200,8.69,,129,No Invoice,UK,Indian Export,Order Released,20,205,1955.25
Pending,Australia,Generic,165,33,150,5.59,,129,Invoice Pending,Australia,Local/Regional Sourcing,Order Released,140,0,922.35
Unknown,Singapore,Premium Chips,34,0.85,150,10.63,,129,Invoice Pending,Singapore,Indian Export,Order Pending,40,-6,361.42
Under Review,France,Generic,100,20,200,6.25,13-06-2024,99,Invoice Generated,France,Local/Regional Sourcing,Order Released,80,20,625
Pending,China,Premium Chocolate,248,12.4,50,8.64,15-06-2024,252,Invoice Generated,China,Indian Export,Order Released,80,168,2142.72
Pending,Japan,Generic,144,14.4,100,7.08,03-06-2024,154,Invoice Generated,Japan,Indian Export,Order Released,140,0,1019.52
Under Review,India,Generic,40,3,150,6.25,02-06-2024,34,Invoice Generated,India,Local/Regional Sourcing,Order Released,40,0,250
Pending,Caneda,Generic,6,0.6,100,4.53,15-06-2024,129,Invoice Generated,Caneda,Indian Export,Order Released,20,-14,27.18
Pending,Singapore,Generic,33,3.3,100,3.21,,129,No Invoice,Singapore,Local/Regional Sourcing,Order Released,33,0,105.93
Approved,Canada,Regular Chips,304,76,250,2.32,,129,Invoice Generated,Canada,Indian Export,Order Pending,40,264,705.28
Unknown,Germany,Generic,195,14.63,75,9.5,,129,No Invoice,Germany,Indian Export,Unknown,40,155,1852.5
Under Review,Australia,Generic,25,1.88,75,2.51,08-06-2024,30,Invoice Generated,Australia,Local/Regional Sourcing,Order Released,40,-15,62.75
Pending,Canada,Generic,77,38.5,500,8.66,10-06-2024,82,Invoice Generated,Canada,Indian Export,Order Released,20,57,666.82
Pending,Spain,Generic,135,6.75,50,9.23,,129,Invoice Pending,Spain,Indian Export,Order Released,20,115,1246.05
Pending,India,Dried Fruit,12,0.6,50,11.14,09-06-2024,14,Invoice Generated,India,Indian Export,Order Pending,20,-8,133.68
Unknown,Brazil,Generic,50,1.25,25,9,09-06-2024,43,Invoice Generated,Brazil,Indian Export,Order Released,40,10,450
Unknown,Japan,Health Bars,46,4.6,100,14.02,,129,No Invoice,Japan,Indian Export,Order Pending,40,6,644.92
Pending,China,Regular Chips,252,85.5,500,1.65,09-06-2024,244,Invoice Generated,China,Indian Export,Unknown,40,212,415.8
Pending,USA,Generic,129,15.4,500,8.15,15-06-2024,126,Invoice Generated,USA,Indian Export,Order Pending,80,49,1051.35
Approved,India,Generic,190,9.5,50,8.77,,129,Invoice Pending,India,Local/Regional Sourcing,Order Pending,140,0,1666.3
Pending,Mexico,Dried Fruit,54,15.4,100,7.34,,129,No Invoice,Mexico,Local/Regional Sourcing,Order Pending,54,0,396.36
Pending,Unknown,Generic,9,2.7,300,9.7,06-06-2024,-1,Invoice Generated,Unknown,Indian Export,Order Released,40,-31,87.3
Pending,Japan,Premium Chocolate,84,21,250,8.01,02-06-2024,94,Invoice Generated,Japan,Indian Export,Order Released,40,44,672.84
Pending,Spain,Generic,30,9,150,9.95,,129,No Invoice,Spain,Indian Export,Order Pending,20,10,298.5
Under Review,UK,Generic,165,8.25,75,6.25,,129,No Invoice,UK,Indian Export,Order Released,80,85,1031.25
Pending,Italy,Regular Chips,26,5.2,200,5.62,,129,Invoice Pending,Italy,Indian Export,Order Pending,40,-14,146.12
Pending,Chana,Generic,200,5,25,10.54,,129,Invoice Generated,Chana,Indian Export,Order Released,40,160,2108
Pending,Brazil,Generic,88,6.6,75,6.25,,129,Invoice Pending,Brazil,Local/Regional Sourcing,Order Released,20,68,550
Pending,Singapore,Generic,276,55.2,200,7.57,,129,Invoice Pending,Singapore,Indian Export,Order Released,40,236,2089.32
Under Review,Germany,Trail Mix,414,15.4,500,15.12,01-06-2024,406,Invoice Generated,Germany,Indian Export,Order Released,140,0,6259.68
Unknown,Singapore,Generic,54,16.2,300,4.94,,129,No Invoice,Singapore,Indian Export,Order Pending,40,14,266.76
Approved,Mexico,Peanuts,225,5.63,25,7.02,,129,No Invoice,Mexico,Local/Regional Sourcing,Order Pending,40,185,1579.5
Under Review,Canada,Generic,121,6.05,50,5.61,,129,No Invoice,Canada,Indian Export,Order Released,40,81,678.81
Under Review,France,Premium Chips,64,4.8,75,5.81,06-06-2024,59,Invoice Generated,France,Indian Export,Order Released,80,-16,371.84
Pending,Austaalia,Generic,319,47.85,150,8.42,,129,No Invoice,Austaalia,Indian Export,Order Released,80,239,2685.98
Pending,France,Generic,145,10.88,150,6.25,,129,Invoice Pending,France,Indian Export,Order Pending,40,105,906.25
Under Review,Australia,Regular Chips,161,80.5,500,3.5,01-06-2024,153,Invoice Generated,Australia,Local/Regional Sourcing,Order Released,40,121,563.5
Approved,India,Brand Chips,111,5.64,25,7.11,03-06-2024,107,Invoice Generated,India,Indian Export,Order Released,111,0,789.21
Unknown,Singapore,Premium Chips,408,61.2,150,4.54,,129,No Invoice,Singapore,Local/Regional Sourcing,Order Pending,80,328,1852.32
Pending,USA,Generic,234,58.5,250,3.17,13-06-2024,236,Invoice Generated,USA,Indian Export,Order Released,80,154,741.78
Under Review,Italy,Generic,300,18.36,25,6.25,,129,Invoice Pending,Italy,Indian Export,Order Released,40,260,1875
Pending,Mexico,Dried Fruit,228,11.4,50,14.69,,129,No Invoice,Mexico,Indian Export,Order Pending,80,148,3349.32
Pending,USA,Generic,286,28.6,100,5.51,07-06-2024,294,Invoice Generated,USA,Indian Export,Order Released,20,266,1575.86
Approved,Australia,Regular Chips,480,85.5,300,2.25,,129,Invoice Pending,Australia,Indian Export,Order Pending,20,425,1080
Approved,Canada,Health Bars,36,18,500,12.83,,129,No Invoice,Canada,Indian Export,Order Released,40,-4,461.88
Pending,UK,Popcorn,369,27.68,75,1.82,11-06-2024,360,Invoice Generated,UK,Indian Export,Order Released,80,289,671.58
Pending,South Korea,Generic,168,4.2,25,4.09,14-06-2024,170,Invoice Generated,South Korea,Indian Export,Order Released,40,128,687.12
Pending,Japan,Generic,420,31.5,75,3.81,,129,No Invoice,Japan,Indian Export,Order Pending,40,380,1600.2
Under Review,Germany,Generic,132,85.5,500,3.44,,129,Invoice Pending,Germany,Indian Export,Pending,40,92,454.08
Approved,Mexico,Health Bars,171,25.65,150,12.17,14-06-2024,171,Invoice Generated,Mexico,Indian Export,Order Released,80,91,2081.07
Unknown,Brazil,Generic,121,9.07,150,7.04,05-06-2024,115,Invoice Generated,Brazil,Indian Export,Order Released,40,81,851.84
Pending,Italy,Generic,36,10.8,150,7.93,09-06-2024,45,Invoice Generated,Italy,Indian Export,Order Pending,20,16,285.48
Under Review,India,Dried Fruit,98,24.5,250,5.31,10-06-2024,92,Invoice Generated,India,Indian Export,Order Released,40,58,520.38
Approved,Japan,Premium Nuts,90,18,200,16.655,,129,Invoice Pending,Japan,Local/Regional Sourcing,Order Pending,80,10,1498.95
Pending,Spain,Generic,80,16,200,8.07,,129,Invoice Generated,Spain,Indian Export,Order Pending,80,0,645.6
Pending,Mexico,Generic,49,15.4,50,7.64,,129,No Invoice,Mexico,Indian Export,Order Released,49,0,374.36
Approved,Australia,Regular Chips,135,20.25,150,4.46,,129,Invoice Pending,Australia,Local/Regional Sourcing,Order Pending,80,55,602.1
Pending,Brazil,Generic,387,58.05,150,4.12,15-06-2024,381,Invoice Generated,Brazil,Indian Export,Order Released,40,347,1594.44
Pending,Canada,Unknown,22,3.3,150,4.11,13-06-2024,24,Invoice Generated,Canada,Indian Export,Order Released,20,2,90.42
Approved,China,Generic,8,0.4,50,11.03,,129,No Invoice,China,Indian Export,Order Pending,80,-72,88.24
Under Review,Brazil,Generic,330,85.5,200,3.29,,129,Invoice Pending,Brazil,Indian Export,Order Pending,140,0,1085.7
Unknown,Unknown,Generic,376,85.5,500,7.93,03-06-2024,378,Invoice Generated,Unknown,Indian Export,Order Released,80,296,2981.68
Pending,Brazil,Generic,384,76.8,200,2.75,11-06-2024,393,Invoice Generated,Brazil,Indian Export,Order Released,140,0,1056
Approved,Italy,Unknown,54,4.05,75,11.92,08-06-2024,58,Invoice Generated,Italy,Indian Export,Order Released,54,0,643.68
Approved,USA,Generic,210,21,100,3.75,,129,No Invoice,USA,Indian Export,Approved,140,0,787.5
Pending,Canada,Generic,187,85.5,500,16.655,10-06-2024,197,Invoice Generated,Canada,Local/Regional Sourcing,Order Released,40,147,3114.485
Pending,Japan,Regular Chips,334,3,25,3.15,05-06-2024,335,Invoice Generated,Japan,Indian Export,Order Released,40,294,1052.1
Unknown,Itely,Unknown,164,15.4,200,2.62,,129,No Invoice,Itely,Indian Export,Order Pending,140,0,429.68
Pending,Australia,Popcorn,100,7.5,75,2.11,,129,Invoice Pending,Australia,Local/Regional Sourcing,Order Pending,40,60,211
Pending,Canada,Regular Chips,200,10,50,3.08,,129,No Invoice,Canada,Local/Regional Sourcing,Order Pending,40,160,616
Pending,Unknown,Generic,60,6.57,50,10.82,11-06-2024,55,Invoice Generated,Unknown,Local/Regional Sourcing,Order Released,60,0,649.2
Approved,France,Generic,517,85.5,250,9,11-06-2024,520,Invoice Generated,France,Indian Export,Unknown,140,0,4653
Pending,Japan,Premium Chips,14,1.4,100,7.58,,129,No Invoice,Japan,Indian Export,Order Pending,40,-26,106.12
Pending,UK,Generic,88,13.2,150,3.33,16-06-2024,78,Invoice Generated,UK,Local/Regional Sourcing,Order Pending,88,0,293.04
Under Review,Italy,Generic,180,9,50,16.655,,129,Invoice Generated,Italy,Indian Export,Order Released,40,140,2997.9
Under Review,Italy,Generic,100,30,150,6.28,04-06-2024,90,Invoice Generated,Italy,Indian Export,Approved,100,0,628
Pending,Japan,Generic,473,47.3,512.5,9.7,12-06-2024,472,Invoice Generated,Japan,Indian Export,Order Released,80,393,4588.1
Pending,Canada,Generic,132,4.95,75,6.38,08-06-2024,129,Invoice Generated,Canada,Local/Regional Sourcing,Order Released,20,112,842.16
Unknown,Singapore,Brand Chips,104,7.8,75,4.71,02-06-2024,102,Invoice Generated,Singapore,Indian Export,Order Released,104,0,489.84
Pending,China,Generic,272,68,250,7.38,,129,No Invoice,China,Indian Export,Order Released,140,0,2007.36
Under Review,Singapore,Generic,77,7.7,100,5.55,09-06-2024,71,Invoice Generated,Singapore,Indian Export,Unknown,77,0,427.35
Pending,Spain,Dried Fruit,150,37.5,250,14.19,08-06-2024,151,Invoice Generated,Spain,Local/Regional Sourcing,Order Pending,40,110,2128.5
Pending,France,Generic,204,30.6,150,2.27,,129,Invoice Generated,France,Indian Export,Order Pending,80,124,463.08
Unknown,Singapore,Generic,368,18.4,50,10.59,,129,No Invoice,Singapore,Indian Export,Order Pending,80,288,3897.12
Under Review,China,Generic,8,1.2,150,9.88,,129,No Invoice,China,Indian Export,Order Released,40,-32,79.04
Pending,Germany,Regular Chips,24,0.6,25,4.13,14-06-2024,27,Invoice Generated,Germany,Indian Export,Order Released,80,-56,99.12
Approved,UK,Unknown,216,85.5,500,11.09,04-06-2024,209,Invoice Generated,UK,Local/Regional Sourcing,Order Pending,40,176,2395.44
Under Review,Germany,Generic,16,1.2,75,4.52,03-06-2024,15,Invoice Generated,Germany,Indian Export,Order Released,20,-4,72.32
Pending,Canada,Generic,40,3,75,2.37,04-06-2024,46,Invoice Generated,Canada,Indian Export,Order Released,40,0,94.8
Pending,UK,Jerky,18,0.45,25,16.655,,129,No Invoice,UK,Local/Regional Sourcing,Order Released,40,-22,299.79
Pending,Frence,Generic,96,15.4,200,7.08,,129,No Invoice,Frence,Indian Export,Order Pending,80,16,679.68
Pending,Brazil,Generic,130,6.5,50,8.04,10-06-2024,126,Invoice Generated,Brazil,Indian Export,Order Released,40,90,1045.2
Pending,andia,Generic,48,1.2,25,11.19,,129,Invoice Pending,andia,Indian Export,Order Released,40,8,537.12
Pending,Brazil,Generic,74,7.4,100,4.63,,129,Unknown,Brazil,Indian Export,Order Released,40,34,342.62
